"","year","prop","std.error","conf.low","conf.high","group","variable"
"1:1",1976,0.354398896270837,0.0213333733934472,0.344891416454062,0.364022830540198,"1","home"
"1:2",1977,0.367561697678851,0.0197383698258864,0.358615583383149,0.376599944682499,"1","home"
"1:3",1978,0.380924925469493,0.0181976278023922,0.37255041965312,0.38937086036741,"1","home"
"1:4",1979,0.394470959784111,0.0167261490814609,0.386668070391766,0.402328020259399,"1","home"
"1:5",1980,0.408181093055057,0.0153438736883592,0.400936823254675,0.41546547795702,"1","home"
"1:6",1981,0.422035621883318,0.0140771036667082,0.415320546534659,0.428779647067925,"1","home"
"1:7",1982,0.436013951402439,0.0129597541154871,0.429778254351224,0.442269949956474,"1","home"
"1:8",1983,0.450094711093373,0.0120335197275958,0.444264267644967,0.455938895285698,"1","home"
"1:9",1984,0.464255880768448,0.0113453055728529,0.458729813265256,0.46979073935675,"1","home"
"1:10",1985,0.478474925217471,0.0109401239143715,0.473126971042978,0.483827818136023,"1","home"
"1:11",1986,0.492728935813294,0.0108497306506716,0.48741481165695,0.498044703499148,"1","home"
"1:12",1987,0.506994777213827,0.0110818315423204,0.501565230788418,0.512422674170752,"1","home"
"1:13",1988,0.52124923717899,0.0116171130958069,0.515564732575157,0.526928244052344,"1","home"
"1:14",1989,0.535469177447625,0.0124164259849254,0.529410926095384,0.541516979745866,"1","home"
"1:15",1990,0.549631683594646,0.013432719121948,0.543106475678079,0.556139861959547,"1","home"
"1:16",1991,0.563714211812527,0.0146208154009642,0.556654066703096,0.570748624673157,"1","home"
"1:17",1992,0.577694730633727,0.0159423503341619,0.570053812641072,0.58529864202176,"1","home"
"1:18",1993,0.591551855728341,0.0173668885116249,0.58330262797029,0.59974983424169,"1","home"
"1:19",1994,0.605264976070852,0.0188711178838168,0.596394612726744,0.61406654326977,"1","home"
"1:20",1995,0.59159346708515,0.017443276412924,0.583308097943957,0.599827113368535,"1","home"
"1:21",1996,0.577778760225367,0.0161595495976328,0.570033896692277,0.585485563005315,"1","home"
"1:22",1997,0.563841276822894,0.0150568437505003,0.556570666404928,0.571084544908052,"1","home"
"1:23",1998,0.549802202954136,0.014177460760077,0.542915207009406,0.556670165058365,"1","home"
"1:24",1999,0.535683365234303,0.0135649029789383,0.529064648517835,0.54228953619008,"1","home"
"1:25",2000,0.521507098120723,0.0132562114271167,0.515020432056532,0.52798651926085,"1","home"
"1:26",2001,0.507296104394401,0.0132726048430881,0.500793164786272,0.513796576099423,"1","home"
"1:27",2002,0.493073310644596,0.0136129088217411,0.486406015704264,0.499743070255632,"1","home"
"1:28",2003,0.478861719696914,0.0142539427249178,0.471894466823897,0.485837205844633,"1","home"
"1:29",2004,0.464684261996806,0.0151575997166224,0.457302514542131,0.47208151402787,"1","home"
"1:30",2005,0.450563647984856,0.0162802065245321,0.442677585463314,0.458474627368051,"1","home"
"1:31",2006,0.43652222347701,0.0175798682913554,0.42806641487303,0.445015098311194,"1","home"
"1:32",2007,0.422581829992653,0.0190203250011485,0.413512701865002,0.431703452069172,"1","home"
"1:33",2008,0.408763671858847,0.0205720224213655,0.399056221810356,0.418542797215547,"1","home"
"1:34",2009,0.395088191763977,0.0222116590827642,0.384732766899075,0.405538626898802,"1","home"
"1:35",2010,0.381574956243993,0.0239211588611558,0.370574429935653,0.392698298676896,"1","home"
"1:36",2011,0.368242552365793,0.0256865768965095,0.356609966648036,0.380030460388351,"1","home"
"1:37",2012,0.355108496632275,0.0274971448228332,0.342865125248585,0.367544535438463,"1","home"
"1:38",2013,0.375692293551898,0.0229439015441849,0.365205260965598,0.386297210708398,"1","home"
"1:39",2014,0.396735212939883,0.0226447785267271,0.38616294828399,0.407404817264801,"1","home"
"1:40",2015,0.418167306593486,0.0267429075228122,0.405471885890287,0.430972079521533,"1","home"
"1:41",2016,0.439912905349561,0.0336691838751215,0.423723631790403,0.456231029533268,"1","home"
"1:42",2017,0.461891614958733,0.0420485257132005,0.441483545267877,0.482428204721227,"1","home"
"1:43",2018,0.484019460407319,0.0511720316020823,0.459032230087681,0.509086849768609,"1","home"
"2:1",1976,0.637525909272255,0.0223930507289132,0.627323673458754,0.647605743105892,"1","hdecide"
"2:2",1977,0.642706863305685,0.0207387122651081,0.633319710989877,0.65198575581337,"1","hdecide"
"2:3",1978,0.647854668442083,0.019143653447715,0.639247957296495,0.656366423707186,"1","hdecide"
"2:4",1979,0.652968352597484,0.0176239769542297,0.645100238290545,0.660753763653995,"1","hdecide"
"2:5",1980,0.658046973671367,0.0162009097115699,0.650866399688901,0.665155842153108,"1","hdecide"
"2:6",1981,0.663089620047303,0.0149021542981425,0.656533808828681,0.66958327493949,"1","hdecide"
"2:7",1982,0.66809541104083,0.0137629482821208,0.662087014538063,0.67404956837815,"1","hdecide"
"2:8",1983,0.673063497294632,0.0128258763266886,0.667507971783846,0.678570895928535,"1","hdecide"
"2:9",1984,0.677993061121296,0.0121378448302274,0.672777482847849,0.683164657927413,"1","hdecide"
"2:10",1985,0.68288331679404,0.0117427111922079,0.677878425312862,0.687846254410501,"1","hdecide"
"2:11",1986,0.68773351078594,0.0116702643760432,0.682800361599061,0.692624476233477,"1","hdecide"
"2:12",1987,0.692542921958283,0.01192638631413,0.687543412992239,0.697497631552985,"1","hdecide"
"2:13",1988,0.697310861698858,0.0124908817089409,0.692118731181926,0.702453074652089,"1","hdecide"
"2:14",1989,0.702036674011027,0.0133246154414894,0.696545083728419,0.707470620693965,"1","hdecide"
"2:15",1990,0.706719735554583,0.0143808359597995,0.700843878556008,0.712527521309885,"1","hdecide"
"2:16",1991,0.711359455639496,0.0156144588310804,0.705035254550114,0.717602373947439,"1","hdecide"
"2:17",1992,0.715955276173714,0.0169868779272285,0.709136166034433,0.7226770372069,"1","hdecide"
"2:18",1993,0.720506671566304,0.0184671745073686,0.713160005172263,0.727737008125881,"1","hdecide"
"2:19",1994,0.725013148587281,0.0200314468349742,0.717116993961295,0.732771029747627,"1","hdecide"
"2:20",1995,0.720007378666386,0.0185381782650294,0.712624323300992,0.727273345795923,"1","hdecide"
"2:21",1996,0.714946312375961,0.0171874036735707,0.708031614824668,0.721761602815083,"1","hdecide"
"2:22",1997,0.709830631915835,0.0160152189263587,0.703323025344471,0.716253082605316,"1","hdecide"
"2:23",1998,0.704661068694408,0.0150633737937023,0.698479884252485,0.710768009426608,"1","hdecide"
"2:24",1999,0.699438403545049,0.0143757025361221,0.693482075974898,0.705328168199542,"1","hdecide"
"2:25",2000,0.694163466860548,0.0139912121467014,0.688310908870288,0.699954036029662,"1","hdecide"
"2:26",2001,0.688837138642892,0.0139350210559441,0.682953058421555,0.694660839196677,"1","hdecide"
"2:27",2002,0.683460348465795,0.0142110241324783,0.677403989625948,0.689455130695529,"1","hdecide"
"2:28",2003,0.678034075347655,0.0148006487197968,0.671668928814709,0.684333818090048,"1","hdecide"
"2:29",2004,0.672559347532792,0.015668528926751,0.665760852726585,0.679286173848045,"1","hdecide"
"2:30",2005,0.667037242179126,0.0167715233505696,0.659696867804226,0.674297455182828,"1","hdecide"
"2:31",2006,0.661468884950642,0.0180666209579339,0.65349485893778,0.669352254171794,"1","hdecide"
"2:32",2007,0.655855449513346,0.019515614024295,0.647171388781599,0.664436597022237,"1","hdecide"
"2:33",2008,0.650198156933623,0.0210868013036957,0.640740822382279,0.659538817743281,"1","hdecide"
"2:34",2009,0.644498274978292,0.0227548849319545,0.6342152330833,0.654649650256961,"1","hdecide"
"2:35",2010,0.638757117315903,0.0245000813851733,0.627604672977572,0.649761955676692,"1","hdecide"
"2:36",2011,0.632976042619202,0.0263070482582596,0.620917551471756,0.644870341189994,"1","hdecide"
"2:37",2012,0.627156453568989,0.0281638986792198,0.614160999957125,0.639970792552789,"1","hdecide"
"2:38",2013,0.633020963701752,0.0235618219805415,0.622228645586205,0.643681521268588,"1","hdecide"
"2:39",2014,0.638846349481465,0.0236487208373493,0.628084921307695,0.649470174980769,"1","hdecide"
"2:40",2015,0.644631175904441,0.028381557663627,0.631788064031251,0.657269334276606,"1","hdecide"
"2:41",2016,0.650374053370664,0.0359709870528383,0.634177807462123,0.666230627271643,"1","hdecide"
"2:42",2017,0.656073638717118,0.0449939915951886,0.635910674036581,0.675689458503633,"1","hdecide"
"2:43",2018,0.661728636147847,0.0547462777342086,0.637309695022045,0.685315305431023,"1","hdecide"
